UPC,ASIN,Amazon_Price,Walmart_Price,My_List_Price_UPC/Amz/Wal,Lowest_Ebay_Price,Highest_Ebay_Price,Mean_eBay_Price,Std_Dev,Coeff_of_Variation_%,CV_Confidence,IQR,IQR_Confidence,Median_Abs_Deviation,MAD_Confidence,Range_to_Mean_%,Range_Confidence,eBay_Prices
725182013111.0,B00004S9GT,La Pavoni PB Large Base with Sliding Drawer Black,,,,,,,,"Review, not enough listings",,"Review, not enough listings",,"Review, not enough listings",,"Review, not enough listings",[]
75609000980.0,B000052YQ3,Olay Complete Lotion Moisturizer with SPF 15 Sensitive 6.0 oz,,,12.5,22.95,17.936,3.400840419007565,18.960974682245567,Cautious,4.6075,Review,2.6449999999999996,Cautious,58.26271186440678,Review,"[12.5, 14.5, 15.48, 15.52, 17.89, 18.4, 20.0, 20.13, 21.99, 22.95]"
371687660147.0,B00014HIWS,Garlique Garlic Extract Supplement Healthy Cholesterol Formula Odorless & Vegan 60 Caplets,,,13.99,16.99,15.773000000000001,1.0642999785983474,6.747606533939942,Confident,1.6075,Cautious,0.9999999999999991,Confident,19.019844037278883,Cautious,"[13.99, 14.42, 14.99, 15.57, 15.84, 15.95, 16.0, 16.99, 16.99, 16.99]"
808709811541.0,B000C9QEF4,ACDelco GM Original Equipment PF2232 Engine Oil Filter,,,11.9,14.75,13.398,1.2624737621035933,9.422852381725582,Confident,2.4450000000000003,Cautious,0.6749999999999998,Confident,21.271831616659203,Review,"[11.9, 11.95, 11.99, 11.99, 13.95, 14.08, 14.24, 14.5, 14.63, 14.75]"
46798258452.0,B000HHLKRI,TetraFauna ReptoFilter Filter Cartridges Size Medium Filter Cartridge Refills 3 Count,,,7.99,13.0,10.809,1.6135292580758076,14.927646017909222,Cautious,2.1449999999999996,Cautious,1.255,Cautious,46.35026366916459,Review,"[7.99, 8.99, 9.99, 9.99, 11.0, 11.04, 11.04, 12.5, 12.55, 13.0]"
737870607106.0,B000PC318Q,Life Extension DHEA 25 mg – For Hormone Balance Immune Support Sexual Health and Anti-Aging - Supports Memory & Mood - Non-GMO Gluten-Free Vegetarian - 100 Dissolve-In-Mouth Tablets,,,10.5,16.95,13.837,2.4378863796329804,17.6186050417936,Cautious,4.2575,Review,1.4749999999999988,Confident,46.6141504661415,Review,"[10.5, 10.95, 10.99, 12.0, 14.99, 15.0, 15.5, 15.5, 15.99, 16.95]"
43156892259.0,B000R80S5C,Schlage FE595 PLY 626 ELA Plymouth Keypad Entry with Flex-Lock and Elan Style Levers Brushed Chrome,,,179.99,,196.635,23.53958474570016,11.971207946550798,Cautious,16.64500000000001,Confident,16.644999999999996,Confident,16.92984463600071,Cautious,"[179.99, 213.28]"
609032478971.0,B000WQZ5PC,Yankee Candle Lemon Lavender Scented Classic 22oz Large Jar Single Wick Candle Over 110 Hours of Burn Time Ideal for Gifting Events and Home Fragrance,,,22.0,34.0,27.55,4.3298062568921285,15.716175161132954,Cautious,5.5,Cautious,3.5,Cautious,43.55716878402904,Review,"[22.0, 22.5, 24.0, 26.0, 26.5, 26.5, 30.0, 30.0, 34.0, 34.0]"
371687300326.0,B0014G59F0,Pamprin Multi-Symptom Formula with Acetaminophen Menstrual Period Symptoms Relief including Cramps Pain Bloating and Irritability 40 Caplets,,,9.99,,11.809999999999999,1.6803571049035975,14.228256603756117,Cautious,2.26,Cautious,1.2100000000000009,Cautious,39.03471634208298,Review,"[9.99, 9.99, 10.79, 12.0, 12.5, 12.8, 14.6]"
300680418301.0,B001F0R76O,Citrucel Powder Orange Flavor Fiber Therapy for Occasional Constipation Relief 30 ounce,,,14.98,28.1,24.39,3.898389981061982,15.983558757941708,Cautious,2.330000000000002,Confident,1.490000000000002,Confident,53.79253792537926,Review,"[14.98, 21.0, 24.37, 24.5, 24.99, 25.0, 25.99, 26.98, 27.99, 28.1]"
767644275408.0,B001G7QTB0,Geritol Multi-Vitamin Nutritional Support Tablets Balance of 26 Essential Vitamins and Minerals 100-Count Bottles (Pack of 2),,,13.99,17.0,15.706999999999999,0.9569982003930596,6.092813397803907,Confident,1.4225000000000012,Confident,0.8299999999999992,Confident,19.163430317692747,Cautious,"[13.99, 14.98, 14.99, 14.99, 15.53, 16.15, 16.36, 16.43, 16.65, 17.0]"
37000434870.0,B001TH7K0G,Metamucil Daily Psyllium Husk Powder Supplement 3-in-1 Fiber Supplement for Digestive Health Plant Based Fiber Supplement 300ct Capsules,,,17.77,29.0,25.032,3.8552325192882693,15.401216520007468,Cautious,4.695,Cautious,2.630000000000001,Cautious,44.86257590284436,Review,"[17.77, 19.85, 23.0, 24.5, 24.99, 26.5, 27.5, 28.26, 28.95, 29.0]"
884903923068.0,B001W6RHOS,Benecalorie Calorie and Protein Enhancer - Unflavored (330 Calories 7g Protein) - 1.5 fl oz Cups 24 Pack,,,13.12,60.15,49.349000000000004,14.34023822055346,29.058822307551235,Review,9.125,Cautious,5.369999999999994,Confident,95.30081663255588,Review,"[13.12, 38.0, 48.0, 52.0, 52.99, 55.0, 55.5, 59.0, 59.73, 60.15]"
