UPC,ASIN,Amazon_Price,Walmart_Price,My_List_Price_UPC/Amz/Wal,Lowest_Ebay_Price,Highest_Ebay_Price,Mean_eBay_Price,Std_Dev,Coeff_of_Variation_%,CV_Confidence,IQR,IQR_Confidence,Median_Abs_Deviation,MAD_Confidence,Range_to_Mean_%,Range_Confidence,eBay_Prices_Used
725182013111.0,B00004S9GT,La Pavoni PB Large Base with Sliding Drawer Black,,,,,,,,"Review, not enough listings",,"Review, not enough listings",,"Review, not enough listings",,"Review, not enough listings",[]
75609000980.0,B000052YQ3,Olay Complete Lotion Moisturizer with SPF 15 Sensitive 6.0 oz,,,12.5,17.89,15.178,1.949004874288415,12.840986126554322,Cautious,1.0199999999999996,Confident,0.9800000000000004,Confident,35.51192515482936,Review,"[12.5, 14.5, 15.48, 15.52, 17.89]"
371687660147.0,B00014HIWS,Garlique Garlic Extract Supplement Healthy Cholesterol Formula Odorless & Vegan 60 Caplets,,,13.99,15.84,14.962,0.7713429846702439,5.15534677630159,Confident,1.1500000000000004,Confident,0.5800000000000001,Confident,12.364657131399543,Cautious,"[13.99, 14.42, 14.99, 15.57, 15.84]"
808709811541.0,B000C9QEF4,ACDelco GM Original Equipment PF2232 Engine Oil Filter,,,11.9,13.95,12.356,0.8918407929669956,7.217876278463868,Confident,0.040000000000000924,Confident,0.040000000000000924,Confident,16.591129815474254,Cautious,"[11.9, 11.95, 11.99, 11.99, 13.95]"
46798258452.0,B000HHLKRI,TetraFauna ReptoFilter Filter Cartridges Size Medium Filter Cartridge Refills 3 Count,,,7.99,11.0,9.592,1.143249753990789,11.918783924007393,Cautious,1.0,Cautious,1.0,Cautious,31.380316930775642,Review,"[7.99, 8.99, 9.99, 9.99, 11.0]"
737870607106.0,B000PC318Q,Life Extension DHEA 25 mg – For Hormone Balance Immune Support Sexual Health and Anti-Aging - Supports Memory & Mood - Non-GMO Gluten-Free Vegetarian - 100 Dissolve-In-Mouth Tablets,,,10.5,14.99,11.886,1.8198708745402792,15.31104555393134,Cautious,1.0500000000000007,Confident,0.4900000000000002,Confident,37.77553424196534,Review,"[10.5, 10.95, 10.99, 12.0, 14.99]"
43156892259.0,B000R80S5C,Schlage FE595 PLY 626 ELA Plymouth Keypad Entry with Flex-Lock and Elan Style Levers Brushed Chrome,,,179.99,213.28,196.635,23.53958474570016,11.971207946550798,Cautious,16.64500000000001,Confident,16.644999999999996,Confident,16.92984463600071,Cautious,"[179.99, 213.28]"
609032478971.0,B000WQZ5PC,Yankee Candle Lemon Lavender Scented Classic 22oz Large Jar Single Wick Candle Over 110 Hours of Burn Time Ideal for Gifting Events and Home Fragrance,,,22.0,26.5,24.2,2.018662923818635,8.34158232982907,Confident,3.5,Cautious,2.0,Confident,18.595041322314053,Cautious,"[22.0, 22.5, 24.0, 26.0, 26.5]"
371687300326.0,B0014G59F0,Pamprin Multi-Symptom Formula with Acetaminophen Menstrual Period Symptoms Relief including Cramps Pain Bloating and Irritability 40 Caplets,,,9.99,12.5,11.053999999999998,1.1532259102188087,10.432657049202179,Cautious,2.01,Cautious,0.7999999999999989,Confident,22.706712502261624,Review,"[9.99, 9.99, 10.79, 12.0, 12.5]"
300680418301.0,B001F0R76O,Citrucel Powder Orange Flavor Fiber Therapy for Occasional Constipation Relief 30 ounce,,,14.98,24.99,21.968,4.215515389605403,19.189345364190654,Cautious,3.5,Cautious,0.6199999999999974,Confident,45.56627822286962,Review,"[14.98, 21.0, 24.37, 24.5, 24.99]"
767644275408.0,B001G7QTB0,Geritol Multi-Vitamin Nutritional Support Tablets Balance of 26 Essential Vitamins and Minerals 100-Count Bottles (Pack of 2),,,13.99,15.53,14.896,0.5584621741890848,3.7490747461673255,Confident,0.009999999999999787,Confident,0.009999999999999787,Confident,10.338345864661648,Cautious,"[13.99, 14.98, 14.99, 14.99, 15.53]"
37000434870.0,B001TH7K0G,Metamucil Daily Psyllium Husk Powder Supplement 3-in-1 Fiber Supplement for Digestive Health Plant Based Fiber Supplement 300ct Capsules,,,17.77,24.99,22.022,3.110589976194226,14.12492042591148,Cautious,4.649999999999999,Review,1.9899999999999984,Confident,32.785396421760055,Review,"[17.77, 19.85, 23.0, 24.5, 24.99]"
884903923068.0,B001W6RHOS,Benecalorie Calorie and Protein Enhancer - Unflavored (330 Calories 7g Protein) - 1.5 fl oz Cups 24 Pack,,,13.12,52.99,40.822,16.58234060680217,40.62108815541171,Review,14.0,Review,4.990000000000002,Cautious,97.66792415854196,Review,"[13.12, 38.0, 48.0, 52.0, 52.99]"
17163003526.0,B004LO9KSY,API TAP WATER CONDITIONER Aquarium Water Conditioner 16-Ounce Bottle,,,11.99,15.75,14.331999999999999,1.5387072496092296,10.736165570815166,Cautious,1.709999999999999,Cautious,1.4399999999999995,Cautious,26.234998604521355,Review,"[11.99, 13.98, 14.25, 15.69, 15.75]"
70018049216.0,B005F1IKU6,Nioxin System 1 Scalp Activating Treatment for Fine Natural Normal-Thin Hair 6.8 Ounce,,,15.99,19.95,17.753999999999998,2.001419496257594,11.273062387392105,Cautious,3.860000000000001,Review,0.9999999999999982,Confident,22.304832713754642,Review,"[15.99, 15.99, 16.99, 19.85, 19.95]"
97855067166.0,B005R3D8TA,Usb Keyboard And Mouse Combo Plug-And-Play,,,15.99,20.2,17.396,1.741846721155452,10.01291515955077,Cautious,1.8100000000000005,Cautious,1.0099999999999998,Confident,24.200965739250396,Review,"[15.99, 15.99, 17.0, 17.8, 20.2]"
755332127177.0,B0097PF0VI,Bar Soap - Aqua by Zest for Women - 8 x 4 oz Bar Soap,,,17.91,17.91,,,,"Review, not enough listings",,"Review, not enough listings",,"Review, not enough listings",,"Review, not enough listings",[17.91]
20066198657.0,B00EQGIUQ0,Painter's Touch Ultra Cover Latex Paint Dark Gray Gloss Qt.,,,19.99,28.32,24.389999999999997,3.1093246855225662,12.748358694229465,Cautious,2.6400000000000006,Cautious,2.0,Confident,34.15334153341534,Review,"[19.99, 23.0, 25.0, 25.64, 28.32]"
658010114202.0,B00H4HYWGA,Vitamin Code 50 and Wiser Men's Formula - 240 ct,,,21.99,24.95,23.380000000000003,1.1248555462813885,4.811187109843406,Confident,0.990000000000002,Confident,0.990000000000002,Confident,12.660393498716854,Cautious,"[21.99, 22.99, 22.99, 23.98, 24.95]"
829835001699.0,B00IIZPW70,Amazing Grass Green Superfood Immunity: Super Greens Powder with Vitamin C Cordyceps Beet Root Powder & Reishi Mushrooms Tangerine 30 Servings,,,25.5,56.77,36.624,12.412182725048808,33.89084405048276,Review,9.900000000000002,Review,5.469999999999999,Cautious,85.38117081695063,Review,"[25.5, 29.99, 30.97, 39.89, 56.77]"
78716111709.0,B00LBGQ0CY,Augason Farms Cooked Freeze Dried White Meat Chicken Dices Can Emergency Food Supply Everyday Meals 15 Servings,,,59.99,94.23,80.882,13.721199656006759,16.964466328734154,Cautious,15.439999999999998,Cautious,8.36,Cautious,42.333275636111864,Review,"[59.99, 75.89, 82.97, 91.33, 94.23]"
