UPC,ASIN,Amazon_Price,Walmart_Price,My_List_Price_UPC/Amz/Wal,Lowest_Ebay_Price,Highest_Ebay_Price,Mean_eBay_Price,Std_Dev,Coeff_of_Variation_%,CV_Confidence,IQR,IQR_Confidence,Median_Abs_Deviation,MAD_Confidence,Range_to_Mean_%,Range_Confidence,eBay_Prices_Used
725182013111.0,B00004S9GT,La Pavoni PB Large Base with Sliding Drawer Black,,,,,,,,"Review, not enough listings",,"Review, not enough listings",,"Review, not enough listings",,"Review, not enough listings",[]
75609000980.0,B000052YQ3,Olay Complete Lotion Moisturizer with SPF 15 Sensitive 6.0 oz,,,12.5,22.95,18.54,2.9845016334389896,16.097635563317098,Cautious,4.609999999999999,Review,2.879999999999999,Cautious,45.57713052858684,Review,"[14.5, 15.48, 15.52, 17.89, 18.4, 20.0, 20.13, 21.99, 22.95]"
371687660147.0,B00014HIWS,Garlique Garlic Extract Supplement Healthy Cholesterol Formula Odorless & Vegan 60 Caplets,,,13.99,16.99,15.971111111111112,0.9125711539990238,5.7138864519209775,Confident,1.4199999999999982,Confident,0.9599999999999991,Confident,16.09155419507443,Cautious,"[14.42, 14.99, 15.57, 15.84, 15.95, 16.0, 16.99, 16.99, 16.99]"
808709811541.0,B000C9QEF4,ACDelco GM Original Equipment PF2232 Engine Oil Filter,,,11.9,14.75,13.564444444444444,1.2171289076255556,8.972935917947249,Confident,2.51,Cautious,0.5500000000000007,Confident,20.64220183486239,Review,"[11.95, 11.99, 11.99, 13.95, 14.08, 14.24, 14.5, 14.63, 14.75]"
46798258452.0,B000HHLKRI,TetraFauna ReptoFilter Filter Cartridges Size Medium Filter Cartridge Refills 3 Count,,,7.99,13.0,11.122222222222222,1.3509975738114575,12.146831332970146,Cautious,2.51,Review,1.049999999999999,Confident,36.05394605394605,Review,"[8.99, 9.99, 9.99, 11.0, 11.04, 11.04, 12.5, 12.55, 13.0]"
737870607106.0,B000PC318Q,Life Extension DHEA 25 mg – For Hormone Balance Immune Support Sexual Health and Anti-Aging - Supports Memory & Mood - Non-GMO Gluten-Free Vegetarian - 100 Dissolve-In-Mouth Tablets,,,10.5,16.95,14.207777777777778,2.267067366543051,15.956523264946787,Cautious,3.5,Review,0.9900000000000002,Confident,42.23039024008759,Review,"[10.95, 10.99, 12.0, 14.99, 15.0, 15.5, 15.5, 15.99, 16.95]"
43156892259.0,B000R80S5C,Schlage FE595 PLY 626 ELA Plymouth Keypad Entry with Flex-Lock and Elan Style Levers Brushed Chrome,,,179.99,,,,,"Review, not enough listings",,"Review, not enough listings",,"Review, not enough listings",,"Review, not enough listings",[213.28]
609032478971.0,B000WQZ5PC,Yankee Candle Lemon Lavender Scented Classic 22oz Large Jar Single Wick Candle Over 110 Hours of Burn Time Ideal for Gifting Events and Home Fragrance,,,22.0,34.0,28.166666666666668,4.100304866714182,14.557295384784078,Cautious,4.0,Cautious,3.5,Cautious,40.828402366863905,Review,"[22.5, 24.0, 26.0, 26.5, 26.5, 30.0, 30.0, 34.0, 34.0]"
371687300326.0,B0014G59F0,Pamprin Multi-Symptom Formula with Acetaminophen Menstrual Period Symptoms Relief including Cramps Pain Bloating and Irritability 40 Caplets,,,9.99,,12.113333333333332,1.617228081213861,13.350809696316961,Cautious,1.632500000000002,Cautious,1.0050000000000008,Confident,38.05723720418272,Review,"[9.99, 10.79, 12.0, 12.5, 12.8, 14.6]"
300680418301.0,B001F0R76O,Citrucel Powder Orange Flavor Fiber Therapy for Occasional Constipation Relief 30 ounce,,,14.98,28.1,25.435555555555553,2.1906112794783508,8.612398005986876,Confident,2.4800000000000004,Confident,0.9899999999999984,Confident,27.91368163550586,Review,"[21.0, 24.37, 24.5, 24.99, 25.0, 25.99, 26.98, 27.99, 28.1]"
767644275408.0,B001G7QTB0,Geritol Multi-Vitamin Nutritional Support Tablets Balance of 26 Essential Vitamins and Minerals 100-Count Bottles (Pack of 2),,,13.99,17.0,15.897777777777776,0.7879526917553134,4.956370020825986,Confident,1.4399999999999995,Confident,0.6199999999999992,Confident,12.70617836175566,Cautious,"[14.98, 14.99, 14.99, 15.53, 16.15, 16.36, 16.43, 16.65, 17.0]"
37000434870.0,B001TH7K0G,Metamucil Daily Psyllium Husk Powder Supplement 3-in-1 Fiber Supplement for Digestive Health Plant Based Fiber Supplement 300ct Capsules,,,17.77,29.0,25.83888888888889,3.065311747785388,11.863171674938075,Cautious,3.7600000000000016,Cautious,2.0,Confident,35.41173941087938,Review,"[19.85, 23.0, 24.5, 24.99, 26.5, 27.5, 28.26, 28.95, 29.0]"
884903923068.0,B001W6RHOS,Benecalorie Calorie and Protein Enhancer - Unflavored (330 Calories 7g Protein) - 1.5 fl oz Cups 24 Pack,,,13.12,60.15,53.37444444444444,7.003602842664464,13.121640731931675,Cautious,7.0,Cautious,4.0,Confident,41.49926098632304,Review,"[38.0, 48.0, 52.0, 52.99, 55.0, 55.5, 59.0, 59.73, 60.15]"
17163003526.0,B004LO9KSY,API TAP WATER CONDITIONER Aquarium Water Conditioner 16-Ounce Bottle,,,11.99,20.75,17.33111111111111,2.4881943475362025,14.35680800604297,Cautious,3.299999999999999,Cautious,2.0600000000000005,Cautious,39.062700346198234,Review,"[13.98, 14.25, 15.69, 15.75, 17.75, 18.99, 18.99, 19.83, 20.75]"
70018049216.0,B005F1IKU6,Nioxin System 1 Scalp Activating Treatment for Fine Natural Normal-Thin Hair 6.8 Ounce,,,15.99,21.99,19.72222222222222,2.0142788894401997,10.213245073217916,Cautious,1.1499999999999986,Confident,1.0100000000000016,Confident,30.422535211267597,Review,"[15.99, 16.99, 19.85, 19.95, 19.99, 20.0, 21.0, 21.74, 21.99]"
97855067166.0,B005R3D8TA,Usb Keyboard And Mouse Combo Plug-And-Play,,,15.99,22.5,19.99888888888889,2.4612011521025887,12.306689465483249,Cautious,4.199999999999999,Review,1.5,Confident,32.551808433801874,Review,"[15.99, 17.0, 17.8, 20.2, 21.0, 21.0, 22.0, 22.5, 22.5]"
755332127177.0,B0097PF0VI,Bar Soap - Aqua by Zest for Women - 8 x 4 oz Bar Soap,,,17.91,,,,,"Review, not enough listings",,"Review, not enough listings",,"Review, not enough listings",,"Review, not enough listings",[]
20066198657.0,B00EQGIUQ0,Painter's Touch Ultra Cover Latex Paint Dark Gray Gloss Qt.,,,19.99,39.57,30.504444444444445,5.420689788004639,17.770163944067075,Cautious,8.450000000000003,Review,3.509999999999998,Cautious,54.31995337655715,Review,"[23.0, 25.0, 25.64, 28.32, 30.92, 33.57, 34.09, 34.43, 39.57]"
658010114202.0,B00H4HYWGA,Vitamin Code 50 and Wiser Men's Formula - 240 ct,,,21.99,28.12,25.397777777777776,1.926141075945489,7.583896090431971,Confident,2.349999999999998,Confident,1.3399999999999999,Confident,20.198617551841817,Review,"[22.99, 22.99, 23.98, 24.95, 24.99, 26.24, 26.33, 27.99, 28.12]"
829835001699.0,B00IIZPW70,Amazing Grass Green Superfood Immunity: Super Greens Powder with Vitamin C Cordyceps Beet Root Powder & Reishi Mushrooms Tangerine 30 Servings,,,25.5,,39.405,12.40389589336082,31.477974605661263,Review,13.385000000000002,Review,4.950000000000001,Cautious,67.96091866514404,Review,"[29.99, 30.97, 39.89, 56.77]"
78716111709.0,B00LBGQ0CY,Augason Farms Cooked Freeze Dried White Meat Chicken Dices Can Emergency Food Supply Everyday Meals 15 Servings,,,59.99,98.98,93.12444444444446,8.383953588718024,9.002956891431085,Confident,7.3500000000000085,Confident,0.29999999999999716,Confident,24.79477879062664,Review,"[75.89, 82.97, 91.33, 94.23, 98.68, 98.68, 98.68, 98.68, 98.98]"
